"","Species","Site","detection","num.samples","Sppcode","Diet","sitecov1"
"1","Acridotheres tristis","ADS1",0,10,35,0,1
"2","Acridotheres tristis","ADS3",2,10,35,0,0
"3","Acridotheres tristis","BD1",4,10,35,0,1
"4","Acridotheres tristis","BD2",4,10,35,0,0
"5","Acridotheres tristis","BD6",7,10,35,0,0
"6","Acridotheres tristis","BDC1",1,10,35,0,1
"7","Acridotheres tristis","BDC2",6,10,35,0,0
"8","Acridotheres tristis","BDC3",2,10,35,0,0
"9","Acridotheres tristis","BDC4",0,10,35,0,0
"10","Acridotheres tristis","BDC6",0,10,35,0,0
"11","Acridotheres tristis","BDC8",0,10,35,0,1
"12","Acridotheres tristis","BN1",0,10,35,0,1
"13","Acridotheres tristis","BN2",1,10,35,0,0
"14","Acridotheres tristis","BNC1",6,10,35,0,1
"15","Acridotheres tristis","BNC2",4,10,35,0,0
"16","Acridotheres tristis","BNC3",5,10,35,0,1
"17","Acridotheres tristis","CHC1",6,10,35,0,0
"18","Acridotheres tristis","CHC2",4,10,35,0,0
"19","Acridotheres tristis","CHC3",4,10,35,0,1
"20","Acridotheres tristis","CHC4",3,10,35,0,1
"21","Acridotheres tristis","CHC5",5,10,35,0,0
"22","Acridotheres tristis","CHC7",0,10,35,0,0
"23","Acridotheres tristis","CHS1",3,10,35,0,1
"24","Acridotheres tristis","CHS2",2,10,35,0,0
"25","Acridotheres tristis","CHS4",1,10,35,0,1
"26","Acridotheres tristis","CHS6",5,10,35,0,0
"27","Acridotheres tristis","MDC1",4,10,35,0,1
"28","Acridotheres tristis","MDS2",3,10,35,0,1
"29","Acridotheres tristis","MDS3",0,10,35,0,0
"30","Acridotheres tristis","MDS4",5,10,35,0,0
"31","Acridotheres tristis","TTC1",0,10,35,0,1
"32","Acridotheres tristis","TTC2",2,10,35,0,0
"33","Acridotheres tristis","TTS1",0,10,35,0,1
"34","Acridotheres tristis","TTS2",5,10,35,0,0
"35","Acro sp.","ADS1",0,10,27,1,1
"36","Acro sp.","ADS3",0,10,27,1,0
"37","Acro sp.","BD1",0,10,27,1,1
"38","Acro sp.","BD2",4,10,27,1,0
"39","Acro sp.","BD6",0,10,27,1,0
"40","Acro sp.","BDC1",0,10,27,1,1
"41","Acro sp.","BDC2",0,10,27,1,0
"42","Acro sp.","BDC3",0,10,27,1,0
"43","Acro sp.","BDC4",0,10,27,1,0
"44","Acro sp.","BDC6",0,10,27,1,0
"45","Acro sp.","BDC8",0,10,27,1,1
"46","Acro sp.","BN1",0,10,27,1,1
"47","Acro sp.","BN2",2,10,27,1,0
"48","Acro sp.","BNC1",0,10,27,1,1
"49","Acro sp.","BNC2",0,10,27,1,0
"50","Acro sp.","BNC3",0,10,27,1,1
"51","Acro sp.","CHC1",0,10,27,1,0
"52","Acro sp.","CHC2",0,10,27,1,0
"53","Acro sp.","CHC3",0,10,27,1,1
"54","Acro sp.","CHC4",0,10,27,1,1
"55","Acro sp.","CHC5",0,10,27,1,0
"56","Acro sp.","CHC7",0,10,27,1,0
"57","Acro sp.","CHS1",4,10,27,1,1
"58","Acro sp.","CHS2",1,10,27,1,0
"59","Acro sp.","CHS4",1,10,27,1,1
"60","Acro sp.","CHS6",0,10,27,1,0
"61","Acro sp.","MDC1",2,10,27,1,1
"62","Acro sp.","MDS2",1,10,27,1,1
"63","Acro sp.","MDS3",2,10,27,1,0
"64","Acro sp.","MDS4",0,10,27,1,0
"65","Acro sp.","TTC1",0,10,27,1,1
"66","Acro sp.","TTC2",0,10,27,1,0
"67","Acro sp.","TTS1",0,10,27,1,1
"68","Acro sp.","TTS2",5,10,27,1,0
"69","Amaurornis phoenicurus","ADS1",0,10,30,0,1
"70","Amaurornis phoenicurus","ADS3",0,10,30,0,0
"71","Amaurornis phoenicurus","BD1",0,10,30,0,1
"72","Amaurornis phoenicurus","BD2",0,10,30,0,0
"73","Amaurornis phoenicurus","BD6",0,10,30,0,0
"74","Amaurornis phoenicurus","BDC1",0,10,30,0,1
"75","Amaurornis phoenicurus","BDC2",0,10,30,0,0
"76","Amaurornis phoenicurus","BDC3",0,10,30,0,0
"77","Amaurornis phoenicurus","BDC4",0,10,30,0,0
"78","Amaurornis phoenicurus","BDC6",0,10,30,0,0
"79","Amaurornis phoenicurus","BDC8",0,10,30,0,1
"80","Amaurornis phoenicurus","BN1",0,10,30,0,1
"81","Amaurornis phoenicurus","BN2",1,10,30,0,0
"82","Amaurornis phoenicurus","BNC1",0,10,30,0,1
"83","Amaurornis phoenicurus","BNC2",0,10,30,0,0
"84","Amaurornis phoenicurus","BNC3",0,10,30,0,1
"85","Amaurornis phoenicurus","CHC1",0,10,30,0,0
"86","Amaurornis phoenicurus","CHC2",0,10,30,0,0
"87","Amaurornis phoenicurus","CHC3",0,10,30,0,1
"88","Amaurornis phoenicurus","CHC4",0,10,30,0,1
"89","Amaurornis phoenicurus","CHC5",0,10,30,0,0
"90","Amaurornis phoenicurus","CHC7",0,10,30,0,0
"91","Amaurornis phoenicurus","CHS1",1,10,30,0,1
"92","Amaurornis phoenicurus","CHS2",0,10,30,0,0
"93","Amaurornis phoenicurus","CHS4",0,10,30,0,1
"94","Amaurornis phoenicurus","CHS6",0,10,30,0,0
"95","Amaurornis phoenicurus","MDC1",0,10,30,0,1
"96","Amaurornis phoenicurus","MDS2",5,10,30,0,1
"97","Amaurornis phoenicurus","MDS3",0,10,30,0,0
"98","Amaurornis phoenicurus","MDS4",5,10,30,0,0
"99","Amaurornis phoenicurus","TTC1",0,10,30,0,1
"100","Amaurornis phoenicurus","TTC2",0,10,30,0,0
"101","Amaurornis phoenicurus","TTS1",0,10,30,0,1
"102","Amaurornis phoenicurus","TTS2",0,10,30,0,0
"103","Anas poecilorhyncha","ADS1",0,10,45,1,1
"104","Anas poecilorhyncha","ADS3",0,10,45,1,0
"105","Anas poecilorhyncha","BD1",0,10,45,1,1
"106","Anas poecilorhyncha","BD2",0,10,45,1,0
"107","Anas poecilorhyncha","BD6",0,10,45,1,0
"108","Anas poecilorhyncha","BDC1",0,10,45,1,1
