"","Site","Species","Presence","Survey"
"1","BN1","Turdoides malcolmi",1,1
"2","BN1","Prinia buchanani",1,1
"3","BN1","Pycnonotus cafer",1,1
"4","BN1","Turnix suscitator",1,1
"5","BN1","Streptopelia decaocto",1,1
"6","BN1","Pavo cristatus",1,1
"7","BN1","Vanellus indicus",1,1
"8","BN1","Mirafra erythroptera",1,1
"9","BN1","Burhinus oedicnemus",NA,1
"10","BN1","Nectarinia asiatica",NA,1
"11","BN1","Turnix Tanki",NA,1
"12","BN1","Francolinus pondicerianus",NA,1
"13","BN1","Tephrodornis pondicerianus",NA,1
"14","BN1","Petronia xanthocollis",NA,1
"15","BN1","Merops orientalis",NA,1
"16","BN1","Pycnonotus leucotis",NA,1
"17","BN1","Eremopterix griseus",NA,1
"18","BN1","Psittacula krameri",NA,1
"19","BN1","Centropus sinensis",NA,1
"20","BN1","Dicrurus macrocercus",NA,1
"21","BN1","Lanius vittatus",NA,1
"22","BN1","Saxicola caprata",NA,1
"23","BN1","Perdicula argoondah",NA,1
"24","BN1","Vanellus malabaricus",NA,1
"25","BN1","Francolinus pictus",NA,1
"26","BN1","Saxicoloides fulicatus",NA,1
"27","BN1","Acro sp.",NA,1
"28","BN1","Prinia socialis",NA,1
"29","BN1","Lanius schach",NA,1
"30","BN1","Amaurornis phoenicurus",NA,1
"31","BN1","Prinia inornata",NA,1
"32","BN1","Lonchura malabarica",NA,1
"33","BN1","Cuculus varius",NA,1
"34","BN1","Mirafra cantillans",NA,1
"35","BN1","Acridotheres tristis",NA,1
"36","BN1","Corvus macrorhynchos",NA,1
"37","BN1","Eudynamys scolopaceus",NA,1
"38","BN1","Lanius excubitor",NA,1
"39","BN1","Coturnix coromandelica",NA,1
"40","BN1","Turnix sylvaticus",NA,1
"41","BN1","Pericrocotus erythropygius",NA,1
"42","BN1","Pericrocotus cinnamomeus",NA,1
"43","BN1","Hirundo smithii",NA,1
"44","BN1","Cisticola juncidis",NA,1
"45","BN1","Anas poecilorhyncha",NA,1
"46","BN1","Rhipidura aureola",NA,1
"47","BN1","Dinopium benghalense",NA,1
"48","BN1","Sypheotides indicus",NA,1
"49","BN1","Halcyon smyrnensis",NA,1
"50","BN1","Turdoides malcolmi",1,2
"51","BN1","Prinia buchanani",1,2
"52","BN1","Pycnonotus cafer",1,2
"53","BN1","Turnix suscitator",NA,2
"54","BN1","Streptopelia decaocto",1,2
"55","BN1","Pavo cristatus",1,2
"56","BN1","Vanellus indicus",NA,2
"57","BN1","Mirafra erythroptera",1,2
"58","BN1","Burhinus oedicnemus",1,2
"59","BN1","Nectarinia asiatica",1,2
"60","BN1","Turnix Tanki",NA,2
"61","BN1","Francolinus pondicerianus",1,2
"62","BN1","Tephrodornis pondicerianus",1,2
"63","BN1","Petronia xanthocollis",1,2
"64","BN1","Merops orientalis",1,2
"65","BN1","Pycnonotus leucotis",1,2
"66","BN1","Eremopterix griseus",NA,2
"67","BN1","Psittacula krameri",NA,2
"68","BN1","Centropus sinensis",NA,2
"69","BN1","Dicrurus macrocercus",NA,2
"70","BN1","Lanius vittatus",NA,2
"71","BN1","Saxicola caprata",NA,2
"72","BN1","Perdicula argoondah",NA,2
"73","BN1","Vanellus malabaricus",NA,2
"74","BN1","Francolinus pictus",NA,2
"75","BN1","Saxicoloides fulicatus",NA,2
"76","BN1","Acro sp.",NA,2
"77","BN1","Prinia socialis",NA,2
"78","BN1","Lanius schach",NA,2
"79","BN1","Amaurornis phoenicurus",NA,2
"80","BN1","Prinia inornata",NA,2
"81","BN1","Lonchura malabarica",NA,2
"82","BN1","Cuculus varius",NA,2
"83","BN1","Mirafra cantillans",NA,2
"84","BN1","Acridotheres tristis",NA,2
"85","BN1","Corvus macrorhynchos",NA,2
"86","BN1","Eudynamys scolopaceus",1,2
"87","BN1","Lanius excubitor",NA,2
"88","BN1","Coturnix coromandelica",NA,2
"89","BN1","Turnix sylvaticus",NA,2
"90","BN1","Pericrocotus erythropygius",NA,2
"91","BN1","Pericrocotus cinnamomeus",NA,2
"92","BN1","Hirundo smithii",NA,2
"93","BN1","Cisticola juncidis",NA,2
"94","BN1","Anas poecilorhyncha",NA,2
"95","BN1","Rhipidura aureola",NA,2
"96","BN1","Dinopium benghalense",NA,2
"97","BN1","Sypheotides indicus",NA,2
"98","BN1","Halcyon smyrnensis",NA,2
"99","BN1","Turdoides malcolmi",NA,3
"100","BN1","Prinia buchanani",1,3
"101","BN1","Pycnonotus cafer",NA,3
"102","BN1","Turnix suscitator",1,3
"103","BN1","Streptopelia decaocto",1,3
"104","BN1","Pavo cristatus",1,3
"105","BN1","Vanellus indicus",NA,3
"106","BN1","Mirafra erythroptera",1,3
"107","BN1","Burhinus oedicnemus",1,3
"108","BN1","Nectarinia asiatica",1,3
"109","BN1","Turnix Tanki",NA,3
"110","BN1","Francolinus pondicerianus",1,3
"111","BN1","Tephrodornis pondicerianus",NA,3
"112","BN1","Petronia xanthocollis",1,3
"113","BN1","Merops orientalis",1,3
"114","BN1","Pycnonotus leucotis",NA,3
"115","BN1","Eremopterix griseus",1,3
"116","BN1","Psittacula krameri",NA,3
"117","BN1","Centropus sinensis",NA,3
"118","BN1","Dicrurus macrocercus",NA,3
"119","BN1","Lanius vittatus",NA,3
"120","BN1","Saxicola caprata",NA,3
"121","BN1","Perdicula argoondah",NA,3
"122","BN1","Vanellus malabaricus",NA,3
"123","BN1","Francolinus pictus",NA,3
"124","BN1","Saxicoloides fulicatus",NA,3
"125","BN1","Acro sp.",NA,3
"126","BN1","Prinia socialis",NA,3
"127","BN1","Lanius schach",NA,3
"128","BN1","Amaurornis phoenicurus",NA,3
"129","BN1","Prinia inornata",NA,3
"130","BN1","Lonchura malabarica",NA,3
"131","BN1","Cuculus varius",NA,3
"132","BN1","Mirafra cantillans",NA,3
"133","BN1","Acridotheres tristis",NA,3
"134","BN1","Corvus macrorhynchos",NA,3
"135","BN1","Eudynamys scolopaceus",1,3
"136","BN1","Lanius excubitor",NA,3
"137","BN1","Coturnix coromandelica",NA,3
"138","BN1","Turnix sylvaticus",NA,3
"139","BN1","Pericrocotus erythropygius",NA,3
"140","BN1","Pericrocotus cinnamomeus",NA,3
"141","BN1","Hirundo smithii",NA,3
"142","BN1","Cisticola juncidis",NA,3
"143","BN1","Anas poecilorhyncha",NA,3
"144","BN1","Rhipidura aureola",NA,3
"145","BN1","Dinopium benghalense",NA,3
"146","BN1","Sypheotides indicus",NA,3
"147","BN1","Halcyon smyrnensis",NA,3
"148","BN1","Turdoides malcolmi",1,4
"149","BN1","Prinia buchanani",1,4
"150","BN1","Pycnonotus cafer",1,4
"151","BN1","Turnix suscitator",1,4
