"","Site","Survey","Time"
"1","BN1","1.0",705
"2","BN1","2.0",805
"3","BN1","3.0",615
"4","BN1","4.0",715
"5","BN1","5.0",730
"6","BN1","6.0",635
"7","BN1","7.0",755
"8","BN1","8.0",655
"9","BN1","9.0",625
"10","BN1","10.0",740
"11","BN2","1.0",710
"12","BN2","2.0",515
"13","BN2","3.0",535
"14","BN2","4.0",655
"15","BN2","5.0",705
"16","BN2","6.0",740
"17","BN2","7.0",805
"18","BN2","8.0",500
"19","BN2","9.0",505
"20","BN2","10.0",725
"21","BD1","1.0",730
"22","BD1","2.0",645
"23","BD1","3.0",725
"24","BD1","4.0",720
"25","BD1","5.0",655
"26","BD1","6.0",630
"27","BD1","7.0",640
"28","BD1","8.0",710
"29","BD1","9.0",720
"30","BD1","10.0",700
"31","BD2","1.0",709
"32","BD2","2.0",749
"33","BD2","3.0",719
"34","BD2","4.0",744
"35","BD2","5.0",739
"36","BD2","6.0",704
"37","BD2","7.0",714
"38","BD2","8.0",734
"39","BD2","9.0",724
"40","BD2","10.0",754
"41","BD6","1.0",850
"42","BD6","2.0",650
"43","BD6","3.0",750
"44","BD6","4.0",735
"45","BD6","5.0",715
"46","BD6","6.0",820
"47","BD6","7.0",805
"48","BD6","8.0",745
"49","BD6","9.0",940
"50","BD6","10.0",725
"51","CHS1","1.0",710
"52","CHS1","2.0",725
"53","CHS1","3.0",635
"54","CHS1","4.0",720
"55","CHS1","5.0",645
"56","CHS1","6.0",655
"57","CHS1","7.0",700
"58","CHS1","8.0",650
"59","CHS1","9.0",705
"60","CHS1","10.0",640
"61","CHS2","1.0",739
"62","CHS2","2.0",754
"63","CHS2","3.0",619
"64","CHS2","4.0",714
"65","CHS2","5.0",749
"66","CHS2","6.0",634
"67","CHS2","7.0",644
"68","CHS2","8.0",704
"69","CHS2","9.0",659
"70","CHS2","10.0",709
"71","CHS4","1.0",530
"72","CHS4","2.0",650
"73","CHS4","3.0",540
"74","CHS4","4.0",635
"75","CHS4","5.0",625
"76","CHS4","6.0",600
"77","CHS4","7.0",720
"78","CHS4","8.0",535
"79","CHS4","9.0",605
"80","CHS4","10.0",650
"81","CHS6","1.0",648
"82","CHS6","2.0",833
"83","CHS6","3.0",843
"84","CHS6","4.0",753
"85","CHS6","5.0",658
"86","CHS6","6.0",803
"87","CHS6","7.0",933
"88","CHS6","8.0",728
"89","CHS6","9.0",803
"90","CHS6","10.0",703
"91","MDS2","1.0",700
"92","MDS2","2.0",720
"93","MDS2","3.0",600
"94","MDS2","4.0",740
"95","MDS2","5.0",625
"96","MDS2","6.0",615
"97","MDS2","7.0",725
"98","MDS2","8.0",645
"99","MDS2","9.0",735
"100","MDS2","10.0",650
"101","MDS3","1.0",600
"102","MDS3","2.0",705
"103","MDS3","3.0",505
"104","MDS3","4.0",530
"105","MDS3","5.0",500
"106","MDS3","6.0",730
"107","MDS3","7.0",520
"108","MDS3","8.0",745
"109","MDS3","9.0",715
"110","MDS3","10.0",805
"111","MDS4","1.0",620
"112","MDS4","2.0",500
"113","MDS4","3.0",520
"114","MDS4","4.0",655
"115","MDS4","5.0",610
"116","MDS4","6.0",725
"117","MDS4","7.0",645
"118","MDS4","8.0",800
"119","MDS4","9.0",550
"120","MDS4","10.0",525
"121","ADS1","1.0",651
"122","ADS1","2.0",756
"123","ADS1","3.0",851
"124","ADS1","4.0",826
"125","ADS1","5.0",811
"126","ADS1","6.0",726
"127","ADS1","7.0",746
"128","ADS1","8.0",846
"129","ADS1","9.0",701
"130","ADS1","10.0",731
"131","ADS3","1.0",758
"132","ADS3","2.0",638
"133","ADS3","3.0",833
"134","ADS3","4.0",858
"135","ADS3","5.0",848
"136","ADS3","6.0",813
"137","ADS3","7.0",708
"138","ADS3","8.0",738
"139","ADS3","9.0",623
"140","ADS3","10.0",718
"141","TTS1","1.0",725
"142","TTS1","2.0",720
"143","TTS1","3.0",645
"144","TTS1","4.0",705
"145","TTS1","5.0",805
"146","TTS1","6.0",750
"147","TTS1","7.0",710
"148","TTS1","8.0",850
"149","TTS1","9.0",635
"150","TTS1","10.0",700
"151","TTS2","1.0",550
"152","TTS2","2.0",535
"153","TTS2","3.0",650
"154","TTS2","4.0",610
"155","TTS2","5.0",715
"156","TTS2","6.0",645
"157","TTS2","7.0",555
"158","TTS2","8.0",510
"159","TTS2","9.0",500
"160","TTS2","10.0",520
"161","BDC1","1.0",801
"162","BDC1","2.0",704
"163","BDC1","3.0",816
"164","BDC1","4.0",751
"165","BDC1","5.0",746
"166","BDC1","6.0",806
"167","BDC1","7.0",821
"168","BDC1","8.0",736
"169","BDC1","9.0",756
"170","BDC1","10.0",811
"171","BDC2","1.0",718
"172","BDC2","2.0",703
"173","BDC2","3.0",643
"174","BDC2","4.0",743
"175","BDC2","5.0",653
"176","BDC2","6.0",753
"177","BDC2","7.0",708
"178","BDC2","8.0",723
"179","BDC2","9.0",658
"180","BDC2","10.0",808
"181","BDC3","1.0",633
"182","BDC3","2.0",725
"183","BDC3","3.0",653
"184","BDC3","4.0",753
"185","BDC3","5.0",738
"186","BDC3","6.0",903
"187","BDC3","7.0",848
"188","BDC3","8.0",823
"189","BDC3","9.0",703
"190","BDC3","10.0",838
"191","BDC4","1.0",550
"192","BDC4","2.0",620
"193","BDC4","3.0",600
"194","BDC4","4.0",625
"195","BDC4","5.0",615
"196","BDC4","6.0",540
"197","BDC4","7.0",530
"198","BDC4","8.0",535
"199","BDC4","9.0",610
"200","BDC4","10.0",545
"201","BDC6","1.0",920
"202","BDC6","2.0",725
"203","BDC6","3.0",655
"204","BDC6","4.0",805
"205","BDC6","5.0",720
"206","BDC6","6.0",640
"207","BDC6","7.0",850
"208","BDC6","8.0",825
"209","BDC6","9.0",740
"210","BDC6","10.0",845
"211","BDC8","1.0",1053
"212","BDC8","2.0",943
"213","BDC8","3.0",758
"214","BDC8","4.0",1043
"215","BDC8","5.0",813
"216","BDC8","6.0",953
"217","BDC8","7.0",1113
"218","BDC8","8.0",1013
"219","BDC8","9.0",848
"220","BDC8","10.0",1023
"221","BNC1","1.0",834
"222","BNC1","2.0",809
"223","BNC1","3.0",634
"224","BNC1","4.0",739
"225","BNC1","5.0",859
"226","BNC1","6.0",914
"227","BNC1","7.0",719
"228","BNC1","8.0",824
"229","BNC1","9.0",924
"230","BNC1","10.0",749
"231","BNC2","1.0",645
"232","BNC2","2.0",540
"233","BNC2","3.0",520
"234","BNC2","4.0",615
"235","BNC2","5.0",710
